id,label
000101,D
000102,B
000103,C
000201,D
000202,C
000301,C
000302,C
000401,C
000402,A
000501,A
000502,D
000601,A
000602,A
000701,B
000702,B
000801,A
000802,A
000901,D
000902,B
001001,B
001101,B
001102,A
001201,A
001202,D
001301,B
001302,A
001401,D
001402,C
001501,B
001601,B
001602,B
001701,A
001702,C
001801,B
001802,B
001803,C
001901,D
002001,D
002002,C
002003,C
002101,D
002201,B
002202,D
002301,C
002302,A
002401,D
002501,C
002601,C
002602,C
002701,B
002702,B
002703,C
002801,C
002802,C
002901,D
003001,B
003002,B
003101,D
003102,A
003103,B
003201,D
003301,B
003302,C
003303,B
003401,C
003402,A
003501,D
003502,A
003503,C
003601,D
003602,B
003701,C
003801,A
003901,B
003902,C
004001,D
004002,A
004101,C
004102,B
004201,D
004301,C
004401,C
004402,B
004501,A
004502,B
004601,B
004602,D
004701,B
004801,B
004802,B
004901,D
005001,A
005002,D
005101,C
005201,C
005202,D
005301,B
005302,C
005401,B
005501,D
005502,C
005601,C
005701,B
005702,A
005801,B
005901,B
006001,A
006101,D
006102,A
006201,D
006301,B
006401,A
006402,C
006501,B
006601,D
006701,C
006801,B
006802,A
006901,A
007001,D
007101,D
007102,B
007201,C
007301,D
007302,D
007401,B
007501,D
007601,D
007602,C
007701,B
007702,B
007801,C
007802,B
007803,C
007901,A
008001,B
008101,B
008102,A
008201,D
008202,B
008301,C
008401,A
008501,C
008601,B
008602,D
008603,C
008701,B
008801,C
008901,C
008902,D
009001,C
009101,B
009201,A
009301,B
009401,C
009402,D
009501,A
009502,D
009601,A
009602,B
009701,B
009702,D
009801,A
009901,D
009902,C
010001,B
010002,D
010003,C
010101,B
010102,C
010201,C
010202,A
010301,D
010302,B
010303,D
010304,C
010401,D
010402,B
010403,C
010501,B
010502,C
010601,C
010701,A
010801,A
010802,C
010901,B
010902,B
010903,A
011001,D
011101,C
011102,C
011103,D
011201,B
011301,C
011302,B
011401,B
011402,D
011501,C
011502,C
011503,C
011601,D
011701,D
011801,B
011802,B
011901,B
012001,A
012002,D
012101,B
012201,C
012202,C
012203,B
012301,C
012302,D
012303,B
012304,C
012401,C
012402,C
012501,A
012502,C
012503,D
012601,B
012602,D
