id,label,p1,p2,p3,p4,p1,p2,p3,p4,,,,,p-sum,,,,,,,,,
000101,,2.4908,1.1505,2.4771,9.8817,2.4304,1.1097,1.9474,9.5126,0.0604,0.0408,0.5297,0.3691,2.4908,1.1505,2.4771,9.8817,,,0.0604,0.0408,0.5297,0.3691
000102,,5.6185,6.8805,2.5613,0.9401,5.2862,6.6795,2.1859,0.8488,0.3323,0.201,0.3754,0.0913,5.6185,6.8805,2.5613,0.9401,,,0.3323,0.201,0.3754,0.0913
000103,,3.4142,2.7493,7.0431,2.7937,3.3265,2.6739,6.9266,2.0733,0.0877,0.0754,0.1165,0.7204,3.4142,2.7493,7.0431,2.7937,,,0.0877,0.0754,0.1165,0.7204
000201,,1.4262,0.2235,0.724,13.6262,1.3214,0.2048,0.6251,12.8487,0.1048,0.0187,0.0989,0.7775,1.4262,0.2235,0.724,13.6262,,,0.1048,0.0187,0.0989,0.7775
000202,,1.9687,0.265,11.6045,2.1612,1.9284,0.2343,10.785,2.0517,0.0403,0.0307,0.8195,0.1095,1.9687,0.265,11.6045,2.1612,,,0.0403,0.0307,0.8195,0.1095
000301,,1.9383,3.9497,7.1635,2.9482,1.8071,3.6153,6.8692,2.7081,0.1312,0.3344,0.2943,0.2401,1.9383,3.9497,7.1635,2.9482,,,0.1312,0.3344,0.2943,0.2401
000302,,1.6596,1.9189,11.9338,0.4876,1.4721,1.5911,11.5728,0.3638,0.1875,0.3278,0.361,0.1238,1.6596,1.9189,11.9338,0.4876,,,0.1875,0.3278,0.361,0.1238
000401,,0.6362,1.0877,12.6817,1.5946,0.5356,0.5935,12.3979,1.4732,0.1006,0.4942,0.2838,0.1214,0.6362,1.0877,12.6817,1.5946,,,0.1006,0.4942,0.2838,0.1214
000402,,11.0227,0.9569,1.6136,2.4068,10.3496,0.8541,1.5222,2.2742,0.6731,0.1028,0.0914,0.1326,11.0227,0.9569,1.6136,2.4068,,,0.6731,0.1028,0.0914,0.1326
000501,,8.4846,3.0657,3.6996,0.7501,8.3946,2.8362,3.2036,0.5656,0.09,0.2295,0.496,0.1845,8.4846,3.0657,3.6996,0.7501,,,0.09,0.2295,0.496,0.1845
000502,,0.9671,6.6503,0.6946,7.6879,0.79,6.3199,0.6418,7.2482,0.1771,0.3304,0.0528,0.4397,0.9671,6.6503,0.6946,7.6879,,,0.1771,0.3304,0.0528,0.4397
000601,,5.7389,2.5717,5.5439,2.1455,5.4037,2.4274,5.1511,2.0177,0.3352,0.1443,0.3928,0.1278,5.7389,2.5717,5.5439,2.1455,,,0.3352,0.1443,0.3928,0.1278
000602,,14.4647,0.8796,0.5639,0.0917,13.4801,0.8736,0.5564,0.0898,0.9846,0.006,0.0075,0.0019,14.4647,0.8796,0.5639,0.0917,,,0.9846,0.006,0.0075,0.0019
000701,,1.8822,11.5281,1.0108,1.579,1.5956,11.3407,0.748,1.3158,0.2866,0.1874,0.2628,0.2632,1.8822,11.5281,1.0108,1.579,,,0.2866,0.1874,0.2628,0.2632
000702,,0.3381,7.7339,5.9377,1.9904,0.2638,7.2747,5.699,1.7627,0.0743,0.4592,0.2387,0.2277,0.3381,7.7339,5.9377,1.9904,,,0.0743,0.4592,0.2387,0.2277
000801,,12.6566,1.3419,1.5534,0.4482,12.0581,1.2933,1.2078,0.4408,0.5985,0.0486,0.3456,0.0074,12.6566,1.3419,1.5534,0.4482,,,0.5985,0.0486,0.3456,0.0074
000802,,9.164,2.4496,2.0692,2.3175,8.9839,1.9946,2.0001,2.0217,0.1801,0.455,0.0691,0.2958,9.164,2.4496,2.0692,2.3175,,,0.1801,0.455,0.0691,0.2958
000901,,1.9848,2.5867,0.3534,11.0751,1.7676,2.0648,0.3388,10.8288,0.2172,0.5219,0.0146,0.2463,1.9848,2.5867,0.3534,11.0751,,,0.2172,0.5219,0.0146,0.2463
000902,,0.4162,10.8226,3.3165,1.4446,0.3312,10.6081,2.6882,1.3724,0.085,0.2145,0.6283,0.0722,0.4162,10.8226,3.3165,1.4446,,,0.085,0.2145,0.6283,0.0722
001001,,1.434,6.2293,4.4648,3.8721,1.3379,6.084,4.2978,3.2805,0.0961,0.1453,0.167,0.5916,1.434,6.2293,4.4648,3.8721,,,0.0961,0.1453,0.167,0.5916
001101,,5.8288,7.6905,1.2781,1.2025,5.7886,7.1024,1.1983,0.9107,0.0402,0.5881,0.0798,0.2918,5.8288,7.6905,1.2781,1.2025,,,0.0402,0.5881,0.0798,0.2918
001102,,10.3516,1.9771,0.5278,3.143,10.1923,1.5774,0.3788,2.8511,0.1593,0.3997,0.149,0.2919,10.3516,1.9771,0.5278,3.143,,,0.1593,0.3997,0.149,0.2919
001201,,11.5222,1.4723,2.1005,0.905,11.3514,1.1814,1.6175,0.8498,0.1708,0.2909,0.483,0.0552,11.5222,1.4723,2.1005,0.905,,,0.1708,0.2909,0.483,0.0552
001202,,0.1953,4.6023,0.8017,10.401,0.1291,4.4043,0.288,10.1788,0.0662,0.198,0.5137,0.2222,0.1953,4.6023,0.8017,10.401,,,0.0662,0.198,0.5137,0.2222
001301,,0.3431,14.944,0.4432,0.2699,0.3102,14.0092,0.4308,0.2501,0.0329,0.9348,0.0124,0.0198,0.3431,14.944,0.4432,0.2699,,,0.0329,0.9348,0.0124,0.0198
001302,,15.1688,0.204,0.3615,0.2656,14.4079,0.1955,0.2049,0.1917,0.7609,0.0085,0.1566,0.0739,15.1688,0.204,0.3615,0.2656,,,0.7609,0.0085,0.1566,0.0739
001401,,2.1595,2.3473,2.2641,9.2291,2.0456,2.173,2.1471,8.6343,0.1139,0.1743,0.117,0.5948,2.1595,2.3473,2.2641,9.2291,,,0.1139,0.1743,0.117,0.5948
001402,,0.1919,0.0429,15.5203,0.2448,0.1875,0.037,14.5421,0.2333,0.0044,0.0059,0.9782,0.0115,0.1919,0.0429,15.5203,0.2448,,,0.0044,0.0059,0.9782,0.0115
001501,,5.4551,6.9879,2.863,0.6938,5.311,6.2456,2.8383,0.6049,0.1441,0.7423,0.0247,0.0889,5.4551,6.9879,2.863,0.6938,,,0.1441,0.7423,0.0247,0.0889
001601,,0.5182,12.4725,1.5344,1.4746,0.5128,11.5385,1.5267,1.4217,0.0054,0.934,0.0077,0.0529,0.5182,12.4725,1.5344,1.4746,,,0.0054,0.934,0.0077,0.0529
001602,,0.2536,15.256,0.3457,0.1448,0.251,14.2712,0.3407,0.1371,0.0026,0.9848,0.005,0.0077,0.2536,15.256,0.3457,0.1448,,,0.0026,0.9848,0.005,0.0077
